loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.317,1.9765527327624846e-05,0.15,500,,,,,,,,,,
0.0122,1.9529639327247425e-05,0.31,1000,,,,,,,,,,
0.0109,1.929375132687e-05,0.46,1500,,,,,,,,,,
0.0092,1.905786332649258e-05,0.61,2000,,,,,,,,,,
0.0096,1.8821975326115164e-05,0.77,2500,,,,,,,,,,
0.0078,1.858608732573774e-05,0.92,3000,,,,,,,,,,
,,1.0,3261,0.008497638627886772,0.9837460706892586,227.9434,57.22,3.58,,,,,
0.0072,1.835019932536032e-05,1.07,3500,,,,,,,,,,
0.009,1.81143113249829e-05,1.23,4000,,,,,,,,,,
0.0071,1.787842332460548e-05,1.38,4500,,,,,,,,,,
0.0076,1.764253532422806e-05,1.53,5000,,,,,,,,,,
0.0088,1.7406647323850636e-05,1.69,5500,,,,,,,,,,
0.0059,1.7170759323473215e-05,1.84,6000,,,,,,,,,,
0.0062,1.6934871323095795e-05,1.99,6500,,,,,,,,,,
,,2.0,6522,0.007165723014622927,0.9858161465920418,223.8679,58.262,3.645,,,,,
0.0064,1.6698983322718375e-05,2.15,7000,,,,,,,,,,
0.0066,1.6463095322340954e-05,2.3,7500,,,,,,,,,,
0.0065,1.6227207321963534e-05,2.45,8000,,,,,,,,,,
0.0063,1.599131932158611e-05,2.61,8500,,,,,,,,,,
0.0053,1.5755431321208693e-05,2.76,9000,,,,,,,,,,
0.0062,1.551954332083127e-05,2.91,9500,,,,,,,,,,
,,3.0,9783,0.00662035821005702,0.9870428582381354,224.5231,58.092,3.634,,,,,
0.0055,1.528365532045385e-05,3.07,10000,,,,,,,,,,
0.0054,1.5047767320076429e-05,3.22,10500,,,,,,,,,,
0.0064,1.4811879319699007e-05,3.37,11000,,,,,,,,,,
0.0058,1.4575991319321588e-05,3.53,11500,,,,,,,,,,
0.0044,1.4340103318944168e-05,3.68,12000,,,,,,,,,,
0.0056,1.4104215318566746e-05,3.83,12500,,,,,,,,,,
0.0059,1.3868327318189325e-05,3.99,13000,,,,,,,,,,
,,4.0,13044,0.006363634951412678,0.9867361803266119,223.5684,58.34,3.65,,,,,
0.0054,1.3632439317811903e-05,4.14,13500,,,,,,,,,,
0.005,1.3396551317434483e-05,4.29,14000,,,,,,,,,,
0.0048,1.3161606869058571e-05,4.45,14500,,,,,,,,,,
0.0054,1.2926190644681907e-05,4.6,15000,,,,,,,,,,
0.0049,1.2690302644304486e-05,4.75,15500,,,,,,,,,,
0.0052,1.2454414643927064e-05,4.91,16000,,,,,,,,,,
,,5.0,16305,0.007155479397624731,0.9868895192823737,224.1423,58.191,3.641,,,,,
0.0043,1.2218526643549644e-05,5.06,16500,,,,,,,,,,
0.0046,1.1982638643172222e-05,5.21,17000,,,,,,,,,,
0.0047,1.1746750642794802e-05,5.37,17500,,,,,,,,,,
0.0054,1.1510862642417381e-05,5.52,18000,,,,,,,,,,
0.0044,1.127497464203996e-05,5.67,18500,,,,,,,,,,
0.0039,1.1039086641662539e-05,5.83,19000,,,,,,,,,,
0.0042,1.080319864128512e-05,5.98,19500,,,,,,,,,,
,,6.0,19566,0.005828679073601961,0.9871961971938971,206.7616,63.082,3.947,,,,,
0.0044,1.0567310640907698e-05,6.13,20000,,,,,,,,,,
0.0033,1.0331422640530278e-05,6.29,20500,,,,,,,,,,
0.0042,1.0096006416153612e-05,6.44,21000,,,,,,,,,,
0.0034,9.86011841577619e-06,6.59,21500,,,,,,,,,,
0.0049,9.62423041539877e-06,6.75,22000,,,,,,,,,,
0.0044,9.38834241502135e-06,6.9,22500,,,,,,,,,,
,,7.0,22827,0.006156324874609709,0.9881929004063482,206.7548,63.084,3.947,,,,,
0.0048,9.153869742646192e-06,7.05,23000,,,,,,,,,,
0.0034,8.917981742268771e-06,7.21,23500,,,,,,,,,,
0.004,8.682093741891351e-06,7.36,24000,,,,,,,,,,
0.0037,8.44620574151393e-06,7.51,24500,,,,,,,,,,
0.0038,8.210317741136509e-06,7.67,25000,,,,,,,,,,
0.0035,7.974429740759088e-06,7.82,25500,,,,,,,,,,
0.004,7.738541740381668e-06,7.97,26000,,,,,,,,,,
,,8.0,26088,0.00714516919106245,0.9871961971938971,207.1247,62.972,3.94,,,,,
0.0033,7.502653740004247e-06,8.13,26500,,,,,,,,,,
0.0029,7.2667657396268255e-06,8.28,27000,,,,,,,,,,
0.0027,7.030877739249405e-06,8.43,27500,,,,,,,,,,
0.0037,6.794989738871984e-06,8.59,28000,,,,,,,,,,
0.0035,6.559101738494563e-06,8.74,28500,,,,,,,,,,
0.0034,6.3232137381171425e-06,8.89,29000,,,,,,,,,,
,,9.0,29349,0.006200311705470085,0.9884995783178716,207.2245,62.941,3.938,,,,,
0.0037,6.087325737739722e-06,9.05,29500,,,,,,,,,,
0.003,5.851437737362301e-06,9.2,30000,,,,,,,,,,
0.0031,5.61554973698488e-06,9.35,30500,,,,,,,,,,
0.0033,5.379661736607459e-06,9.51,31000,,,,,,,,,,
0.0028,5.143773736230039e-06,9.66,31500,,,,,,,,,,
0.0029,4.907885735852618e-06,9.81,32000,,,,,,,,,,
0.0034,4.671997735475197e-06,9.97,32500,,,,,,,,,,
,,10.0,32610,0.006307046860456467,0.989342942574561,242.4128,53.805,3.366,,,,,
0.0031,4.436581511098531e-06,10.12,33000,,,,,,,,,,
0.0026,4.201165286721865e-06,10.27,33500,,,,,,,,,,
0.0027,3.965277286344444e-06,10.43,34000,,,,,,,,,,
0.0023,3.7293892859670234e-06,10.58,34500,,,,,,,,,,
0.0036,3.4935012855896023e-06,10.73,35000,,,,,,,,,,
0.0025,3.258085061212936e-06,10.89,35500,,,,,,,,,,
,,11.0,35871,0.00666411267593503,0.9890362646630376,242.2268,53.846,3.369,,,,,
0.0024,3.0221970608355154e-06,11.04,36000,,,,,,,,,,
0.0024,2.7863090604580946e-06,11.19,36500,,,,,,,,,,
0.0025,2.550421060080674e-06,11.35,37000,,,,,,,,,,
0.0023,2.314533059703253e-06,11.5,37500,,,,,,,,,,
0.0027,2.0786450593258324e-06,11.65,38000,,,,,,,,,,
0.0022,1.8427570589484114e-06,11.81,38500,,,,,,,,,,
0.0027,1.6068690585709906e-06,11.96,39000,,,,,,,,,,
,,12.0,39132,0.007137024309486151,0.9895729510082036,227.5977,57.307,3.585,,,,,
0.0022,1.3714528341943245e-06,12.11,39500,,,,,,,,,,
0.0022,1.1355648338169038e-06,12.27,40000,,,,,,,,,,
