loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.3811,1.913939393939394e-05,0.65,500,,,,,,,,,,
,,1.0,770,0.003859400749206543,0.9961038961038962,180.0824,8.552,2.138,,,,,
0.0036,1.8273593073593073e-05,1.3,1000,,,,,,,,,,
0.0025,1.740779220779221e-05,1.95,1500,,,,,,,,,,
,,2.0,1540,0.0037207379937171936,0.9961038961038962,179.6356,8.573,2.143,,,,,
0.001,1.6541991341991342e-05,2.6,2000,,,,,,,,,,
,,3.0,2310,0.00851486623287201,0.9974025974025974,179.6632,8.572,2.143,,,,,
0.0002,1.5676190476190478e-05,3.25,2500,,,,,,,,,,
0.0,1.481038961038961e-05,3.9,3000,,,,,,,,,,
,,4.0,3080,0.01340382732450962,0.9974025974025974,180.0738,8.552,2.138,,,,,
0.0006,1.3944588744588745e-05,4.55,3500,,,,,,,,,,
,,5.0,3850,0.003929195925593376,0.9974025974025974,179.3964,8.584,2.146,,,,,
0.0,1.3078787878787879e-05,5.19,4000,,,,,,,,,,
0.0,1.2212987012987015e-05,5.84,4500,,,,,,,,,,
,,6.0,4620,0.004014594946056604,0.9980519480519481,179.4786,8.58,2.145,,,,,
0.0,1.134718614718615e-05,6.49,5000,,,,,,,,,,
,,7.0,5390,0.014361832290887833,0.9948051948051948,179.7683,8.567,2.142,,,,,
0.0001,1.0481385281385282e-05,7.14,5500,,,,,,,,,,
0.0011,9.615584415584416e-06,7.79,6000,,,,,,,,,,
,,8.0,6160,0.0050579942762851715,0.9980519480519481,179.9113,8.56,2.14,,,,,
0.0014,8.74978354978355e-06,8.44,6500,,,,,,,,,,
,,9.0,6930,0.0049691470339894295,0.9980519480519481,180.1618,8.548,2.137,,,,,
0.0,7.883982683982685e-06,9.09,7000,,,,,,,,,,
0.0,7.018181818181818e-06,9.74,7500,,,,,,,,,,
,,10.0,7700,0.0050786444917321205,0.9980519480519481,179.4781,8.58,2.145,,,,,
0.0,6.152380952380953e-06,10.39,8000,,,,,,,,,,
,,11.0,8470,0.005307071842253208,0.9980519480519481,179.5611,8.576,2.144,,,,,
0.0,5.286580086580087e-06,11.04,8500,,,,,,,,,,
0.0,4.420779220779221e-06,11.69,9000,,,,,,,,,,
,,12.0,9240,0.005363609176129103,0.9980519480519481,179.9034,8.56,2.14,,,,,
0.0,3.554978354978355e-06,12.34,9500,,,,,,,,,,
0.0,2.68917748917749e-06,12.99,10000,,,,,,,,,,
,,13.0,10010,0.005612668581306934,0.9980519480519481,179.1033,8.598,2.15,,,,,
0.0,1.8233766233766235e-06,13.64,10500,,,,,,,,,,
,,14.0,10780,0.005643473006784916,0.9980519480519481,179.6406,8.573,2.143,,,,,
0.0,9.575757575757577e-07,14.29,11000,,,,,,,,,,
0.0,9.177489177489179e-08,14.94,11500,,,,,,,,,,
,,15.0,11550,0.005653017200529575,0.9980519480519481,179.3863,8.585,2.146,,,,,
,,15.0,11550,,,,,,10288.1887,8.981,1.123,2.13139119384576e+17,0.016953465854258703
,,15.0,11550,0.004238133784383535,0.9974039460020768,224.9334,8.563,2.143,,,,,
